V1,V2
DB00006,O00299
DB00006,O14556
DB00006,O14618
DB00006,O14791
DB00006,O15304
DB00006,O15350
DB00006,O60701
DB00006,O75340
DB00006,O75636
DB00006,O75880
DB00006,P00338
DB00006,P00387
DB00006,P00390
DB00006,P00441
DB00006,P00450
DB00006,P00558
DB00006,P00736
DB00006,P00739
DB00006,P00740
DB00006,P00747
DB00006,P00748
DB00006,P00751
DB00006,P01008
DB00006,P01009
DB00006,P01011
DB00006,P01019
DB00006,P01023
DB00006,P01024
DB00006,P01031
DB00006,P01042
DB00006,P01308
DB00006,P01591
DB00006,P02533
DB00006,P02538
DB00006,P02647
DB00006,P02649
DB00006,P02652
DB00006,P02655
DB00006,P02656
DB00006,P02671
DB00006,P02743
DB00006,P02746
DB00006,P02747
DB00006,P02748
DB00006,P02749
DB00006,P02750
DB00006,P02751
DB00006,P02765
DB00006,P02766
DB00006,P02775
DB00006,P02787
DB00006,P02795
DB00006,P02818
DB00006,P03372
DB00006,P03952
DB00006,P04003
DB00006,P04004
DB00006,P04070
DB00006,P04075
DB00006,P04217
DB00006,P04264
DB00006,P04279
DB00006,P04406
DB00006,P04637
DB00006,P04731
DB00006,P05067
DB00006,P05090
DB00006,P05109
DB00006,P05121
DB00006,P05155
DB00006,P05452
DB00006,P05543
DB00006,P05546
DB00006,P06396
DB00006,P06702
DB00006,P06727
DB00006,P06733
DB00006,P06744
DB00006,P07225
DB00006,P07237
DB00006,P07357
DB00006,P07360
DB00006,P07437
DB00006,P07900
DB00006,P08185
DB00006,P08603
DB00006,P08697
DB00006,P08700
DB00006,P08758
DB00006,P08779
DB00006,P08865
DB00006,P09525
DB00006,P09874
DB00006,P0C0L5
DB00006,P10412
DB00006,P10809
DB00006,P10909
DB00006,P10997
DB00006,P11021
DB00006,P11142
DB00006,P12814
DB00006,P13645
DB00006,P13647
DB00006,P14550
DB00006,P14618
DB00006,P14625
DB00006,P14780
DB00006,P14866
DB00006,P14923
DB00006,P15169
DB00006,P15531
DB00006,P15559
DB00006,P15814
DB00006,P15880
DB00006,P15924
DB00006,P16083
DB00006,P16455
DB00006,P17174
DB00006,P18669
DB00006,P20851
DB00006,P22626
DB00006,P22792
DB00006,P23246
DB00006,P23415
DB00006,P23526
DB00006,P23528
DB00006,P23560
DB00006,P25311
DB00006,P25713
DB00006,P26447
DB00006,P27169
DB00006,P27797
DB00006,P29034
DB00006,P29372
DB00006,P29401
DB00006,P29622
DB00006,P30041
DB00006,P30086
DB00006,P30101
DB00006,P31151
DB00006,P31942
DB00006,P31943
DB00006,P31946
DB00006,P32119
DB00006,P35527
DB00006,P35858
DB00006,P35908
DB00006,P36955
DB00006,P37840
DB00006,P38435
DB00006,P42858
DB00006,P43487
DB00006,P43652
DB00006,P45381
DB00006,P45973
DB00006,P46663
DB00006,P46736
DB00006,P46939
DB00006,P48637
DB00006,P48723
DB00006,P49411
DB00006,P49908
DB00006,P50213
DB00006,P51693
DB00006,P51858
DB00006,P51884
DB00006,P56524
DB00006,P56537
DB00006,P60174
DB00006,P60842
DB00006,P61769
DB00006,P62807
DB00006,P62937
DB00006,P63244
DB00006,P63261
DB00006,P68104
DB00006,P68871
DB00006,P69905
DB00006,P78330
DB00006,P81605
DB00006,Q00987
DB00006,Q06323
DB00006,Q06481
DB00006,Q06830
DB00006,Q07021
DB00006,Q07955
DB00006,Q0VD83
DB00006,Q13547
DB00006,Q14624
DB00006,Q15185
DB00006,Q15428
DB00006,Q8N907
DB00006,Q969S2
DB00006,Q96FI4
DB00006,Q99497
DB00006,Q9BQB6
DB00006,Q9BY41
DB00006,Q9UHF0
DB00007,P03372
DB00007,P04150
DB00007,P06401
DB00007,P10275
DB00007,P13500
DB00007,P22888
DB00014,P03372
DB00014,P04150
DB00014,P06401
DB00014,P10275
DB00014,P13500
DB00050,P03372
DB00050,P04150
DB00050,P06401
DB00050,P10275
DB00050,P13500
DB00091,O00299
DB00091,O60701
DB00091,O75880
DB00091,P00338
DB00091,P00387
DB00091,P00390
DB00091,P00558
DB00091,P00734
DB00091,P00739
DB00091,P00747
DB00091,P01008
DB00091,P01009
DB00091,P01019
DB00091,P01024
DB00091,P01031
DB00091,P01042
DB00091,P02647
DB00091,P02649
DB00091,P02652
DB00091,P02655
DB00091,P02656
DB00091,P02743
DB00091,P02747
DB00091,P02748
DB00091,P02749
DB00091,P02750
DB00091,P02765
DB00091,P02766
DB00091,P02775
DB00091,P02787
DB00091,P04003
DB00091,P04004
DB00091,P04217
DB00091,P04264
DB00091,P04406
DB00091,P05067
DB00091,P05090
DB00091,P05109
DB00091,P05121
DB00091,P05155
DB00091,P05452
DB00091,P05543
DB00091,P05546
DB00091,P06396
DB00091,P06727
DB00091,P06733
DB00091,P06744
DB00091,P07237
DB00091,P07437
DB00091,P07900
DB00091,P08185
DB00091,P08603
DB00091,P08697
DB00091,P08758
DB00091,P08865
DB00091,P09525
DB00091,P0C0L5
DB00091,P10412
DB00091,P10809
DB00091,P10909
DB00091,P10997
DB00091,P11021
DB00091,P11142
DB00091,P12814
DB00091,P13645
DB00091,P14550
DB00091,P14618
DB00091,P14625
DB00091,P14866
DB00091,P15531
DB00091,P15814
DB00091,P15880
DB00091,P17174
DB00091,P18669
DB00091,P22626
DB00091,P23246
DB00091,P23415
DB00091,P23526
DB00091,P23528
DB00091,P23560
DB00091,P25311
DB00091,P26447
DB00091,P27169
DB00091,P27797
DB00091,P29034
DB00091,P29401
DB00091,P29622
DB00091,P30041
DB00091,P30086
DB00091,P30101
DB00091,P31942
DB00091,P31943
DB00091,P31946
DB00091,P32119
DB00091,P35527
DB00091,P35858
DB00091,P35908
DB00091,P36955
DB00091,P37840
DB00091,P42858
DB00091,P43487
DB00091,P43652
DB00091,P45973
DB00091,P48637
DB00091,P48723
DB00091,P50213
DB00091,P51693
DB00091,P51858
DB00091,P51884
DB00091,P56537
DB00091,P60842
DB00091,P61769
DB00091,P62807
DB00091,P63244
DB00091,P63261
DB00091,P68104
DB00091,P68871
DB00091,P69905
DB00091,Q06323
DB00091,Q06830
DB00091,Q07021
DB00091,Q07955
DB00091,Q0VD83
DB00091,Q15185
DB00091,Q15428
DB00091,Q969S2
DB00091,Q96FI4
DB00091,Q99497
DB00091,Q9UHF0
DB00114,O00222
DB00114,O00299
DB00114,O14841
DB00114,O15067
DB00114,O15374
DB00114,O15399
DB00114,O15403
DB00114,O15427
DB00114,O60391
DB00114,O60603
DB00114,O60669
DB00114,O60701
DB00114,O75311
DB00114,O75880
DB00114,O94925
DB00114,O95363
DB00114,O95907
DB00114,O95954
DB00114,P00338
DB00114,P00367
DB00114,P00387
DB00114,P00390
DB00114,P00439
DB00114,P00558
DB00114,P00734
DB00114,P00739
DB00114,P00747
DB00114,P01008
DB00114,P01009
DB00114,P01019
DB00114,P01024
DB00114,P01031
DB00114,P01042
DB00114,P02647
DB00114,P02649
DB00114,P02652
DB00114,P02655
